ballot_type,form_type,station_id,choice_no,votes,total_ballots,invalid_ballots,no_vote_ballots,name,party,source_page,reviewer_notes
constituency,518,154,3,280,350,7,19,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,1,Verified manually from official ECT 5/18 PDF: ต.ชีบน page 1
constituency,518,154,4,2,350,7,19,นายณรงค์ แขนอก,ประชาธิปัตย์,1,Verified manually from official ECT 5/18 PDF: ต.ชีบน page 1
constituency,518,154,5,1,350,7,19,นายทัศนัย สุขประสาร,ภูมิใจไทย,1,Verified manually from official ECT 5/18 PDF: ต.ชีบน page 1
constituency,518,154,6,2,350,7,19,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,1,Verified manually from official ECT 5/18 PDF: ต.ชีบน page 1
constituency,518,154,8,8,350,7,19,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,1,Verified manually from official ECT 5/18 PDF: ต.ชีบน page 1
constituency,518,215,1,3,387,16,20,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,1,Verified manually from official ECT 5/18 PDF: ต.ทุ่งทอง page 1
constituency,518,215,2,55,387,16,20,นางสาววาสนา อยู่ภักดี,ประชาชน,1,Verified manually from official ECT 5/18 PDF: ต.ทุ่งทอง page 1
constituency,518,215,3,267,387,16,20,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,1,Verified manually from official ECT 5/18 PDF: ต.ทุ่งทอง page 1
constituency,518,215,4,9,387,16,20,นายณรงค์ แขนอก,ประชาธิปัตย์,1,Verified manually from official ECT 5/18 PDF: ต.ทุ่งทอง page 1
constituency,518,215,5,7,387,16,20,นายทัศนัย สุขประสาร,ภูมิใจไทย,1,Verified manually from official ECT 5/18 PDF: ต.ทุ่งทอง page 1
constituency,518,215,6,7,387,16,20,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,1,Verified manually from official ECT 5/18 PDF: ต.ทุ่งทอง page 1
constituency,518,215,8,3,387,16,20,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,1,Verified manually from official ECT 5/18 PDF: ต.ทุ่งทอง page 1
constituency,518,288,1,0,113,5,1,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,1,Verified manually from official ECT 5/18 PDF: กะฮาด page 1
constituency,518,288,2,25,113,5,1,นางสาววาสนา อยู่ภักดี,ประชาชน,1,Verified manually from official ECT 5/18 PDF: กะฮาด page 1
constituency,518,288,3,68,113,5,1,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,1,Verified manually from official ECT 5/18 PDF: กะฮาด page 1
constituency,518,288,4,4,113,5,1,นายณรงค์ แขนอก,ประชาธิปัตย์,1,Verified manually from official ECT 5/18 PDF: กะฮาด page 1
constituency,518,288,5,7,113,5,1,นายทัศนัย สุขประสาร,ภูมิใจไทย,1,Verified manually from official ECT 5/18 PDF: กะฮาด page 1
constituency,518,288,6,1,113,5,1,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,1,Verified manually from official ECT 5/18 PDF: กะฮาด page 1
constituency,518,288,8,2,113,5,1,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,1,Verified manually from official ECT 5/18 PDF: กะฮาด page 1
