row_index,priority,form_type,vote_type,polling_station_no,choice_no,choice_name,party_name,votes,source_pdf,source_page,choice_in_master,has_missing_votes,classification,recommended_action
577,P1,5_18,constituency,133.0,9,นายเซิงขาย ซาลีรินทร์ นายณรงค์ แขนอก,ประชาธิบิตย์ เพื่อไทย --+=+* mr,2.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,49,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
4612,P1,5_18_partylist,party_list,146.0,96,,R pic ro ULNMUI/CI/ENL U,9.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,17,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
4611,P1,5_18_partylist,party_list,146.0,69,,MMRESEOUM,2.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,19,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
4622,P1,5_18_partylist,party_list,148.0,99,,r ELNUI/E/ENL C,4.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,25,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
605,P1,5_18,constituency,142.0,7,Gyw,,1.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,1,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
616,P1,5_18,constituency,145.0,7,UCกกNALSMLUELRELUEMBLS,A Dr,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,7,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
617,P1,5_18,constituency,145.0,9,"""nenLe MenLe O MUCUISUEMOBLSONNLWWUOSUEMNENL (WUGEINCAMC) MWUELUWUOIUEMCMLC ด ซ A",PR R,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,7,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
620,P1,5_18,constituency,146.0,9,ENU/ER/ENL ซ a D D,A ดร A D G S uen Men,7.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,9,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
621,P1,5_18,constituency,146.0,159,ทอ VOO sneMLg neMLe WUOUISUEIMCRBLSRNNNLWUOUISUEMNENLC ซ (WUEICALMC) MUENLRUWUCUISUENELCด,,2.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,9,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
623,P1,5_18,constituency,147.0,20,,G,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,12,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
