province,zone,form_type,voting_type,station_id,station_name,candidate_no,candidate_name,party,votes,total_ballots,invalid_ballots,no_vote_ballots
ชัยภูมิ,2,518,election_day,9,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,,,,
ชัยภูมิ,2,518,election_day,9,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,9,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,10,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,,,,
ชัยภูมิ,2,518,election_day,10,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,10,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,0,,,
ชัยภูมิ,2,518,election_day,10,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,0,,,
ชัยภูมิ,2,518,election_day,10,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,11,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,,,,
ชัยภูมิ,2,518,election_day,11,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,2,,,
ชัยภูมิ,2,518,election_day,11,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,2,,,
ชัยภูมิ,2,518,election_day,11,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,2,,,
ชัยภูมิ,2,518,election_day,11,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,6,,,
ชัยภูมิ,2,518,election_day,12,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,2,,,
ชัยภูมิ,2,518,election_day,12,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,2,,,
