form_type,vote_type,required,expected_polling_stations,file_path,exists,sha256,source_url,notes
5_18_partylist,party_list,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ลุ่มน้ำชี-บัญชีรายชื่อ.pdf,True,0cc89f26adff2a16d6e4ecc5ede32180053c1ca82947fdc9a957e21854bdc9d6,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18,constituency,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ลุ่มลำชี แบ่งเขต.PDF,True,b3addaffefac6b95ca80315ff3de030859251abd6a59c17aac1b147efb11f58f,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_partylist,party_list,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-บัญชีรายชื่อ.PDF,True,2c9144a6a7af982a4c94c1d442e2556a61037f1e047d704d925e94e6d036d826,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18,constituency,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-แบ่งเขต.PDF,True,88af24ab84ccc6b38e3962bfc60a7e85b5e652723511510b4b6c3a4a3ccd9580,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_partylist,party_list,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/กะฮาด-001-บัญชีรายชื่อ.PDF,True,77b9cfd7b174131c6ed7135342bc3f8978cfd1f62276de9a80bf5eed801c8e73,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18,constituency,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/กะฮาด-001-แบ่งเขต.PDF,True,ed52aca9b88460126f71de80377d2a86975525f162d1e25b971369714952203d,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_partylist,party_list,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,True,b56d0217eb5292c367c0b09000fa4c7dc1c51b71f0bc3cb5522d4ac5679aaedb,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18,constituency,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,True,a41df33232439beced2aaceef694088e418506e55d576869383b9c54ef60a934,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_partylist,party_list,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-บัญชีรายชื่อ.PDF,True,a58f764beadfa452acbbe0f05021af54e6c70176b573b8e257a87355cc8994dc,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18,constituency,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-แบ่งเขต.PDF,True,bd3df15f6224b8e7562b466bc5de66c518cf8c6f958865b28f9e085b69526936,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_partylist,party_list,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-บัญชีรายชื่อ.PDF,True,4a86904f8cf1ef71f03809b203ed11d3d6e03ad0a3c8ddc8dcb3cd3586bcc755,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18,constituency,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,True,b379f9dfec995dbba088b3dd175128915af4d5aeae9e6018b47033bb2bde7d76,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
