field,observed_value,suggested_value,score,status,form_type,polling_station_no,choice_no,source_pdf,source_page
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,137.0,6,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,17
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,137.0,8,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,17
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,138.0,4,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,23
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,138.0,5,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,23
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,138.0,8,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,23
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,139.0,4,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,29
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,139.0,5,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,29
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,139.0,8,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,29
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,140.0,2,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,35
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,140.0,4,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,35
