priority,reason,suggested_action,row_index,province,form_type,vote_type,polling_station_no,choice_no,choice_name,party_name,votes,ballots_cast,valid_votes,invalid_votes,no_vote,ocr_confidence,validation_status,source_pdf,source_page
P0,missing_votes,Open source PDF page and type the vote value manually.,50,ชัยภูมิ,5_17_partylist,party_list,,10,,สาม,,,,,,0.7921,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,17
P0,missing_votes,Open source PDF page and type the vote value manually.,51,ชัยภูมิ,5_17_partylist,party_list,,27,,d,,,,,,0.6939,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,18
P0,missing_votes,Open source PDF page and type the vote value manually.,52,ชัยภูมิ,5_17_partylist,party_list,,28,,ไทยก้าวหน้า L d,,,,,,0.6939,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,18
P0,missing_votes,Open source PDF page and type the vote value manually.,53,ชัยภูมิ,5_17_partylist,party_list,,29,,ไทยภักดี ..$ L,,,,,,0.6939,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,18
P0,missing_votes,Open source PDF page and type the vote value manually.,54,ชัยภูมิ,5_17_partylist,party_list,,31,,ประชากรไทย ครูไทยเพื่อประชาชน,,,,,,0.6939,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,18
P0,missing_votes,Open source PDF page and type the vote value manually.,55,ชัยภูมิ,5_17_partylist,party_list,,32,,ครูไทยเพื่อประชาชน,,,,,,0.6939,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,18
P0,missing_votes,Open source PDF page and type the vote value manually.,56,ชัยภูมิ,5_17_partylist,party_list,,34,,สรางอนาคตไทย d,,,,,,0.6939,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,18
P0,missing_votes,Open source PDF page and type the vote value manually.,57,ชัยภูมิ,5_17_partylist,party_list,,53,,$,,,,,,0.6798,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,19
P0,missing_votes,Open source PDF page and type the vote value manually.,58,ชัยภูมิ,5_17_partylist,party_list,,54,,$,,,,,,0.6798,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,19
P0,missing_votes,Open source PDF page and type the vote value manually.,60,ชัยภูมิ,5_17_partylist,party_list,,28,,d.. p,,,,,,0.6409,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,22
